id_partner,marketplace,country_code,is_fbn,item_nr,sku,brand_en,title_en,purchase_item_nr,awb_nr,base_price,invoice_price,item_status,cancel_reason,ordered_date,shipped_date,delivered_date,cancelled_date,returned_date,estimated_shipping_date
76776,noon,AE,FBN,NAEG50057422453-2,Z9FC42C7B6196FDACA66BZ-1,iUNIK,Centella Bubble Foaming Vegan Facial Cleanser - Naturally-Derived Tea Tree Extracts Centella Asiatica Extract 69% Soothing Moisturizing Exfoliating Removes Pore Blackheads Whiteheads 5.07 Fl Oz,NAEG50057422453-2-P1,,44,44,Delivered,,07-May-24,07-May-24,09-May-24,,,09-May-24
76776,noon,AE,FBN,NAEG50052831305-1,Z9FC42C7B6196FDACA66BZ-1,iUNIK,Centella Bubble Foaming Vegan Facial Cleanser - Naturally-Derived Tea Tree Extracts Centella Asiatica Extract 69% Soothing Moisturizing Exfoliating Removes Pore Blackheads Whiteheads 5.07 Fl Oz,NAEG50052831305-1-P1,,44,44,Delivered,,07-May-24,07-May-24,09-May-24,,,09-May-24
76776,noon,AE,FBN,NAEG50022407620-2,Z4CF81A5EDD4B705CFBCBZ-1,iUNIK,"Propolis 70% Vitamins 17% Synergy Serum, Centella Fruits Extract Calming Soothing Deep Nourishing Dry Damaged Dull Spot Hyperpigmentation Sensitive Acne-prone Skin No Pore Clogging Korean Skinca",NAEG50022407620-2-P1,,50,50,Delivered,,07-May-24,08-May-24,09-May-24,,,08-May-24
76776,noon,AE,FBN,NAEG50020882919-1,Z15AE7B1434DA3939AE28Z-1,iUNIK,"Tea Tree 67% Relief Vegan Facial Serum for Clear & Balanced Skin - Plant-based Ingredients w/Centella Asiatica for Soothing, Calming, Irritated Skin - Korean Skincare for Sensitive Oily Skin",NAEG50020882919-1-P1,,67,67,Delivered,,09-May-24,09-May-24,11-May-24,,,10-May-24
76776,noon,AE,FBN,NAEG50081297835-4,Z15AE7B1434DA3939AE28Z-1,iUNIK,"Tea Tree 67% Relief Vegan Facial Serum for Clear & Balanced Skin - Plant-based Ingredients w/Centella Asiatica for Soothing, Calming, Irritated Skin - Korean Skincare for Sensitive Oily Skin",NAEG50081297835-4-P1,,67,67,Delivered,,10-May-24,11-May-24,14-May-24,,,14-May-24
76776,noon,AE,FBN,NAEG50012103319-2,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50012103319-2-P1,,45,45,Delivered,,11-May-24,12-May-24,12-May-24,,,12-May-24
76776,noon,AE,FBN,NAEG50038925941-1,Z9DE6840CD86FC83BE25CZ-1,iUNIK,Rose Galactomyces Synergy Vegan Face Serum 1.69 Fl Oz Naturally Fermented Rose Water Hydrating Ampoule Serum Deep Moisturizing Pore Minimizing Alcohol-free Chemical-free Korean Skincare,NAEG50038925941-1-P1,,57,57,Delivered,,11-May-24,11-May-24,13-May-24,,,12-May-24
76776,noon,AE,FBN,NAEG50028595951-1,Z20BC64FB66CFC02D83FEZ-1,iUNIK,Beta Glucan Vegan Lightweight Non Sticky Deep Moisture Watery Cream Daily Moisturizer Quick Absorption Dry Mature Sensitive Fine lines Skin Naturally Derived Centella Vitamin Korean Skincare,NAEG50028595951-1-P1,,45,45,Delivered,,12-May-24,12-May-24,13-May-24,,,13-May-24
76776,noon,AE,FBN,NAEG50039381270-16,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50039381270-16-P1,,66,66,Delivered,,12-May-24,12-May-24,13-May-24,,,12-May-24
76776,noon,AE,FBN,NAEG50084374003-6,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50084374003-6-P1,,66,66,Delivered,,12-May-24,13-May-24,14-May-24,,,14-May-24
76776,noon,AE,FBN,NAEG50079094027-6,ZFB6F819374BCCB16E0CCZ-1,iUNIK,Calendula Complete Deep Vegan Cleansing Oil 94% Plant-based Oils Blackhead Melting Makeup Remover Mascara Sunscreen Eyeliner Facial Cleanser - Dry Oily Acne-Prone Sensitive Skin Korean Skincare,NAEG50079094027-6-P1,,55,55,Delivered,,14-May-24,15-May-24,16-May-24,,,16-May-24
